Component Type,Value,Designator,Footprint,Part Details
SMT Capacitor,0.1uF,X1 C3 C4,C0805,
SMT Resistor,5.1K,R1 R2,M0805,RC0805FR-075K1L
SMT Resistor,10k,R11 R13 R14 R16 R17,M0805,
SMT Capacitor,10uF,C1,C0805,GRM21BR61C106KE15K
SMT Capacitor,22uF,C2,C0805,GRM21BR61A226ME51K
SMT Resistor,39ohm,R3 R4 R5 R6 R7 R8 R9 R10,R1210,RC1210FR-0739RL
SMT Resistor,220Ohm,R12,M0805,RC0805FR-07220RL
Connector,USB Power Port,J1,ADAFRUIT_4907,4907
Voltage Regulator,3.3V,U1,SOT230P700X180-4N,AZ1117IH-3.3TRG1
MOSFET,IRLML6344TRPBF,Q1,SOT23,IRLML6344TRPBF
SMT Resistor,Zero Ohm,R15,R1210,RMCF1210ZT0R00
MCU,ESP8266,MCU,ESP-12F,ESP-12F
TH 5MM LED,IR (940nm),LEDX,TH,IR333-A
IR Receiver,38kHz,A1,TH,TSOP38238
